"","Difference","0.95 CI"
"0.9 < p","0.016","[0.012, 0.017]"
"0.8 < p < 0.9","0.003","[0, 0.005]"
"0.7 < p < 0.8","0.003","[-0.001, 0.005]"
"0.6 < p < 0.7","-0.001","[-0.005, 0.001]"
"0.5 < p < 0.6","0.003","[0, 0.005]"
"0.4 < p < 0.5","-0.002","[-0.005, 0.001]"
"0.3 < p < 0.4","-0.005","[-0.009, -0.003]"
"0.2 < p < 0.3","-0.007","[-0.012, -0.005]"
"0.1 < p < 0.2","-0.006","[-0.011, -0.003]"
"0.05 < p < 0.1","-0.002","[-0.005, 0]"
"0.01 < p < 0.05","0.003","[0, 0.007]"
"0.001 < p < 0.01","0.002","[0.001, 0.005]"
"p < 0.001","-0.007","[-0.036, 0.035]"
"ESR_{0.1}^{all}","-0.004","[-0.023, 0.031]"
"ESR_{0.05}^{all}","-0.002","[-0.024, 0.036]"
"ESR_{0.1}^{sig}","-0.007","[-0.019, 0.024]"
"ESR_{0.05}^{sig}","-0.004","[-0.017, 0.033]"
"No. of meta-analysis","704","0"
"No. of tests","63956","0"
