"","Difference","0.95 CI"
"0.9 < p","0.001","[-0.003, 0.004]"
"0.8 < p < 0.9","-0.012","[-0.016, -0.009]"
"0.7 < p < 0.8","-0.012","[-0.016, -0.009]"
"0.6 < p < 0.7","-0.016","[-0.02, -0.013]"
"0.5 < p < 0.6","-0.012","[-0.016, -0.009]"
"0.4 < p < 0.5","-0.017","[-0.021, -0.014]"
"0.3 < p < 0.4","-0.02","[-0.024, -0.017]"
"0.2 < p < 0.3","-0.023","[-0.027, -0.019]"
"0.1 < p < 0.2","-0.022","[-0.026, -0.018]"
"0.05 < p < 0.1","-0.009","[-0.012, -0.007]"
"0.01 < p < 0.05","0.001","[-0.002, 0.005]"
"0.001 < p < 0.01","0.011","[0.008, 0.014]"
"p < 0.001","0.128","[0.094, 0.167]"
"ESR_{0.1}^{all}","0.131","[0.105, 0.169]"
"ESR_{0.05}^{all}","0.14","[0.112, 0.18]"
"ESR_{0.1}^{sig}","0.225","[0.199, 0.265]"
"ESR_{0.05}^{sig}","0.264","[0.234, 0.31]"
"No. of meta-analysis","704","0"
"No. of tests","63956","0"
